Species1
Tinamus solitarius
Crypturellus obsoletus
Crypturellus tataupa
Penelope obscura
Odontophorus capueira
Elanoides forficatus
Accipiter bicolor
Rupornis magnirostris
Spizaetus tyrannus
Spizaetus ornatus
Milvago chimachima
Mycrastur ruficollis
Mycrastur semitorquatus
Falco sparverius
Herpetotheres cachinnans
Aramides cajaneus
Aramides saracura
Patagioneas picazuro
Patagioneas plumbea
Patagioneas cayennensis
Leptotila verreauxi
Leptotila rufaxilla
Geotrygon montana
Columbina talpacoti
Columbina squammata
Zenaida auriculata
Pyrrhura frontalis
Pionus maximilliani
Psittacara leucophthalmus
Brotogeris chiriri
Amazona amazonica 
Piaya cayana
Guira guira
Tapera naevia
Crotophaga ani
Pulsatrix koeniswaldiana
Strix hylophila
Strix virgata
Megascops choliba
Strix huhula
Tyto alba furcata
Nyctibius griseus
Antrostomus sericocaudatus
Lurocalis semitorquatus
Nyctiphrynus ocellatus
Trogon viridis
Trogon surrucura
Trogon rufus
Rhamphastos dicolorus
Rhamphastos toco
Pteroglossus castanotis
Veniliornis spilogaster
Piculus aurulentus
Hylatomus lineatus
Dryocopus lineatus
Melanerpes candidus
Myrmoderus squamosa
Rhopias gularis
Dysithamnus xanthopterus
Thamnophilus caerulescens
Hypoedaleus guttatus
Batara cinerea
Mackenziaena leachii
Mackenziaena severa
Pyriglena leucoptera
Drymophila malura
Drymophila rubricollis
Conopophaga lineata
Grallaria varia
Eleoscytalopus indigoticus
Chamaeza ruficauda
Sclerurus scansor
Xiphorrhynchus fuscus
Campylorhampus falcularius
Dendrocolaptes platyrostris
Xiphocolaptes albicollis
Xenops rutilus
Automolus leucophthalmus
Anabazenops fuscus
Synallaxis ruficapilla
Synallaxis cinerascens
Furnarius rufus
Cranioleuca pallida
Chiroxiphia caudata
Schiffornis virescens
Pachyramphus polychopterus
Procnias nudicollis
Platyrinchus mystaceus
Leptopogon amaurocephalus
Poecilotriccus plumbeiceps
Phyllomyias fasciatus
Sirystes sibilator
Pitangus sulphuratus
Myiodynastes maculatus
Megarynchus pitangua
Cnemotriccus fuscatus
Turdus rufiventris
Turdus leucomelas
Coereba flaveola
Saltator similis
Tachyphonus coronatus
Tiaris fuliginosus
Basileuterus culicivorus
Euphonia chlorotica
Cariama cristata
