Mass;Wing.Length;Tail.Length;Tarsus.Length;Beak.Length_Culmen;Beak.Width;Trophic.Niche;Species1
287.5;229.6;186.3;58.1;25.0;8.6;Vertivore;Accipiter bicolor
416.2;412.8;279.2;33.5;29.4;10.2;Invertivore;Elanoides forficatus
269.0;220.9;159.1;61.5;26.4;10.4;Vertivore;Rupornis magnirostris
1197.4;353.0;289.5;93.8;39.1;12.3;Vertivore;Spizaetus ornatus
1007.1;384.4;334.4;80.4;42.3;12.1;Vertivore;Spizaetus tyrannus
83.0;160.7;122.7;17.6;23.0;6.0;Invertivore;Antrostomus sericocaudatus
75.9;185.4;83.8;12.7;15.5;4.2;Invertivore;Lurocalis semitorquatus
39.6;125.4;111.9;15.6;14.2;3.1;Invertivore;Nyctiphrynus ocellatus
172.0;256.4;181.8;10.4;28.6;5.1;Invertivore;Nyctibius griseus
1400.0;357.1;296.4;205.8;65.9;14.9;Invertivore;Cariama cristata
52.9;95.0;90.7;15.8;15.7;2.8;Granivore;Columbina squammata
46.0;86.8;65.8;16.4;14.2;3.1;Granivore;Columbina talpacoti
133.9;136.5;76.3;26.9;19.5;3.5;Omnivore;Geotrygon montana
157.0;135.5;94.3;27.3;20.3;3.4;Granivore;Leptotila rufaxilla
146.9;136.7;102.1;27.7;19.5;3.6;Granivore;Leptotila verreauxi
110.2;136.2;92.9;21.0;19.0;3.7;Granivore;Zenaida auriculata
110.1;144.0;180.6;35.8;30.6;9.9;Omnivore;Crotophaga ani
141.0;173.6;213.8;36.4;30.7;7.5;Invertivore;Guira guira
102.0;145.5;278.6;34.6;32.0;8.8;Invertivore;Piaya cayana
48.4;106.0;146.8;28.0;19.8;5.1;Invertivore;Tapera naevia
114.6;182.4;126.5;33.7;17.1;8.4;Omnivore;Falco sparverius
623.6;272.4;219.0;58.9;33.2;12.6;Vertivore;Herpetotheres cachinnans
315.2;285.9;198.4;49.4;30.5;11.3;Omnivore;Milvago chimachima
1770.0;309.4;313.5;70.6;34.5;10.2;Frugivore;Penelope obscura
425.4;146.8;75.0;37.8;21.3;7.6;Omnivore;Odontophorus capueira
397.0;178.7;62.8;63.0;51.3;5.3;Aquatic predator;Aramides cajaneus
540.0;182.0;65.9;71.6;59.3;11.6;Omnivore;Aramides saracura
25.2;70.0;45.3;28.1;16.4;4.9;Invertivore;Conopophaga lineata
172.0;148.4;82.6;29.4;27.0;7.1;Frugivore;Procnias nudicollis
71.2;87.9;74.9;36.2;18.8;5.3;Invertivore;Chamaeza ruficauda
11.0;56.7;32.9;12.9;9.2;4.1;Frugivore;Euphonia chlorotica
38.5;91.6;80.0;23.4;25.2;4.6;Invertivore;Anabazenops fuscus
34.5;90.8;82.1;22.7;24.0;4.4;Invertivore;Automolus leucophthalmus
11.5;61.2;63.2;16.6;15.5;2.6;Invertivore;Cranioleuca pallida
61.7;118.9;112.3;25.9;36.4;8.3;Invertivore;Dendrocolaptes platyrostris
46.4;95.8;67.4;30.9;23.4;3.9;Invertivore;Furnarius rufus
36.9;88.1;64.5;22.2;25.2;4.2;Invertivore;Sclerurus scansor
13.1;54.1;65.9;19.5;12.4;2.7;Invertivore;Synallaxis cinerascens
13.8;55.9;74.3;20.3;15.3;2.8;Invertivore;Synallaxis ruficapilla
11.2;65.8;49.0;14.3;13.3;2.9;Invertivore;Xenops rutilus
118.0;128.3;119.0;31.3;50.7;7.7;Invertivore;Xiphocolaptes albicollis
119.0;119.2;48.9;50.8;28.5;8.3;Invertivore;Grallaria varia
10.5;59.5;53.1;19.5;12.8;4.0;Invertivore;Basileuterus culicivorus
25.6;75.9;57.8;19.8;13.8;4.0;Omnivore;Chiroxiphia caudata
16.2;51.9;35.9;19.6;15.0;3.3;Invertivore;Eleoscytalopus indigoticus
131.0;119.8;165.6;47.0;38.7;8.1;Invertivore;Batara cinerea
13.0;55.4;76.7;22.1;14.9;3.3;Invertivore;Drymophila malura
10.0;52.8;66.1;19.2;14.7;3.9;Invertivore;Drymophila rubricollis
16.0;61.9;52.7;21.2;17.2;4.3;Invertivore;Dysithamnus xanthopterus
38.8;84.4;97.7;28.2;27.9;8.4;Invertivore;Hypoedaleus guttatus
70.2;89.5;130.4;36.4;25.9;6.1;Invertivore;Mackenziaena leachii
51.8;91.2;116.2;34.5;26.7;6.2;Invertivore;Mackenziaena severa
28.8;78.0;75.7;29.7;18.9;4.2;Invertivore;Pyriglena leucoptera
11.3;51.8;32.5;15.7;15.4;3.3;Invertivore;Rhopias gularis
21.1;69.4;62.6;22.6;17.1;4.5;Invertivore;Thamnophilus caerulescens
10.0;54.6;34.1;16.9;13.2;3.6;Nectarivore;Coereba flaveola
43.3;99.8;94.0;23.9;20.3;7.9;Invertivore;Saltator similis
29.3;83.9;76.8;21.5;18.5;6.3;Invertivore;Tachyphonus coronatus
20.8;72.0;55.7;18.7;14.9;7.0;Invertivore;Pachyramphus polychopterus
25.6;80.2;64.2;21.4;13.9;3.8;Omnivore;Schiffornis virescens
69.1;111.6;92.1;32.4;22.2;5.1;Frugivore;Turdus leucomelas
69.4;115.5;101.5;33.4;25.2;5.3;Invertivore;Turdus rufiventris
13.6;66.7;62.6;18.3;13.8;5.4;Invertivore;Cnemotriccus fuscatus
11.7;62.7;55.3;14.5;13.8;3.8;Invertivore;Leptopogon amaurocephalus
69.9;113.5;85.8;19.2;33.7;13.9;Invertivore;Megarynchus pitangua
43.2;107.9;79.0;19.5;25.6;10.5;Invertivore;Myiodynastes maculatus
10.3;57.2;49.1;15.2;9.8;3.6;Invertivore;Phyllomyias fasciatus
62.9;111.9;84.8;25.8;29.3;10.1;Omnivore;Pitangus sulphuratus
9.7;55.0;29.9;15.6;13.1;7.3;Invertivore;Platyrinchus mystaceus
5.7;42.5;36.2;18.3;14.0;3.3;Invertivore;Poecilotriccus plumbeiceps
32.3;93.9;81.2;18.8;22.2;8.2;Invertivore;Sirystes sibilator
183.2;185.9;123.6;28.5;41.6;11.0;Invertivore;Hylatomus lineatus
108.0;157.2;96.5;24.6;34.7;7.7;Frugivore;Melanerpes candidus
75.0;118.6;71.2;19.6;25.7;7.1;Invertivore;Piculus aurulentus
40.3;96.0;53.0;16.2;23.8;5.6;Invertivore;Veniliornis spilogaster
258.1;154.4;144.4;35.0;115.9;26.9;Frugivore;Pteroglossus castanotis
61.6;115.0;89.0;11.3;21.2;8.9;Omnivore;Brotogeris chiriri
158.0;172.3;145.6;15.4;25.7;16.5;Omnivore;Psittacara leucophthalmus
72.0;132.5;127.5;12.2;22.8;11.8;Omnivore;Pyrrhura frontalis
132.0;162.8;91.3;30.0;21.8;7.0;Invertivore;Megascops choliba
481.0;316.0;192.0;47.1;38.8;9.7;Vertivore;Pulsatrix koeniswaldiana
345.4;242.1;152.0;46.2;27.7;9.9;Vertivore;Strix hylophila
443.4;160.0;54.2;45.9;30.9;5.4;Omnivore;Crypturellus obsoletus
218.8;123.3;49.4;32.5;24.9;4.8;Omnivore;Crypturellus tataupa
1386.4;261.5;156.2;73.1;37.9;5.8;Omnivore;Tinamus solitarius
53.8;113.1;130.9;13.1;19.9;8.9;Omnivore;Trogon rufus
73.3;137.5;139.5;15.5;19.4;9.5;Invertivore;Trogon surrucura
89.7;146.1;158.4;14.2;25.2;10.1;Frugivore;Trogon viridis
